sample_id,layer,entropy,n_img
chartqa_train_0015,9,0.8851482272148132,1429
chartqa_train_0015,10,0.9110427498817444,1429
chartqa_train_0015,11,0.8508970141410828,1429
chartqa_train_0015,12,0.872316837310791,1429
chartqa_train_0015,13,0.9065788984298706,1429
chartqa_train_0015,14,0.7775281071662903,1429
chartqa_train_0015,15,0.8003367185592651,1429
chartqa_train_0015,16,0.7561658024787903,1429
chartqa_train_0015,17,0.7703904509544373,1429
chartqa_train_0015,18,0.7930768728256226,1429
chartqa_train_0015,19,0.7369324564933777,1429
chartqa_train_0015,20,0.7881984114646912,1429
chartqa_train_0015,21,0.788765013217926,1429
chartqa_train_0015,22,0.7127835750579834,1429
chartqa_train_0015,23,0.7436261177062988,1429
chartqa_train_0015,24,0.8464288115501404,1429
chartqa_train_0015,25,0.7406122088432312,1429
chartqa_train_0015,26,0.809024453163147,1429
chartqa_train_0015,27,,1429
chartqa_train_0017,0,0.9167844653129578,1429
chartqa_train_0017,1,0.9182491302490234,1429
chartqa_train_0017,2,0.926415205001831,1429
chartqa_train_0017,3,0.9169862270355225,1429
chartqa_train_0017,4,0.8510000109672546,1429
chartqa_train_0017,5,0.9003610610961914,1429
chartqa_train_0017,6,0.8671417236328125,1429
chartqa_train_0017,7,0.8502407670021057,1429
chartqa_train_0017,8,0.8663461804389954,1429
chartqa_train_0017,9,0.8000741600990295,1429
chartqa_train_0017,10,0.8646342754364014,1429
chartqa_train_0017,11,0.8555348515510559,1429
chartqa_train_0017,12,0.8723323941230774,1429
chartqa_train_0017,13,0.8564103841781616,1429
chartqa_train_0017,14,0.8756470680236816,1429
chartqa_train_0017,15,0.9027028679847717,1429
chartqa_train_0017,16,0.8639147877693176,1429
chartqa_train_0017,17,0.8852333426475525,1429
chartqa_train_0017,18,0.8351390957832336,1429
chartqa_train_0017,19,0.8034873008728027,1429
chartqa_train_0017,20,0.8732687830924988,1429
chartqa_train_0017,21,0.8486524820327759,1429
chartqa_train_0017,22,0.8681482672691345,1429
chartqa_train_0017,23,0.8659109473228455,1429
chartqa_train_0017,24,0.8742958903312683,1429
chartqa_train_0017,25,0.8874255418777466,1429
chartqa_train_0017,26,0.8452329039573669,1429
chartqa_train_0017,27,0.8649663329124451,1429
chartqa_train_0021,0,0.9197127223014832,1849
chartqa_train_0021,1,0.9114663004875183,1849
chartqa_train_0021,2,0.9461161494255066,1849
chartqa_train_0021,3,0.9477750658988953,1849
chartqa_train_0021,4,0.8618100881576538,1849
chartqa_train_0021,5,0.8753623962402344,1849
chartqa_train_0021,6,0.895068883895874,1849
chartqa_train_0021,7,0.8966046571731567,1849
chartqa_train_0021,8,0.8148261308670044,1849
chartqa_train_0021,9,0.8313135504722595,1849
chartqa_train_0021,10,0.8779231905937195,1849
chartqa_train_0021,11,0.8330070972442627,1849
chartqa_train_0021,12,0.8500324487686157,1849
chartqa_train_0021,13,0.8638538718223572,1849
chartqa_train_0021,14,0.7676103115081787,1849
chartqa_train_0021,15,0.827159583568573,1849
chartqa_train_0021,16,0.7876102328300476,1849
chartqa_train_0021,17,0.8277866840362549,1849
chartqa_train_0021,18,0.8517440557479858,1849
chartqa_train_0021,19,0.7911552786827087,1849
chartqa_train_0021,20,0.8485859036445618,1849
chartqa_train_0021,21,0.8106813430786133,1849
chartqa_train_0021,22,0.7250489592552185,1849
chartqa_train_0021,23,0.8059366345405579,1849
chartqa_train_0021,24,0.8657485246658325,1849
chartqa_train_0021,25,0.857807457447052,1849
chartqa_train_0021,26,0.8381680846214294,1849
chartqa_train_0021,27,0.8504192233085632,1849
chartqa_train_0022,0,0.9210274815559387,1431
chartqa_train_0022,1,0.9154890775680542,1431
chartqa_train_0022,2,0.90003901720047,1431
chartqa_train_0022,3,0.9131091237068176,1431
chartqa_train_0022,4,0.9073691964149475,1431
chartqa_train_0022,5,0.9178888201713562,1431
chartqa_train_0022,6,0.8806058168411255,1431
chartqa_train_0022,7,0.8887201547622681,1431
chartqa_train_0022,8,0.8729724287986755,1431
chartqa_train_0022,9,0.823663055896759,1431
chartqa_train_0022,10,0.9113955497741699,1431
chartqa_train_0022,11,0.8760176301002502,1431
chartqa_train_0022,12,0.8902372717857361,1431
chartqa_train_0022,13,0.9004619121551514,1431
chartqa_train_0022,14,0.8944827318191528,1431
chartqa_train_0022,15,0.9064048528671265,1431
chartqa_train_0022,16,0.8795512914657593,1431
chartqa_train_0022,17,0.9010540843009949,1431
chartqa_train_0022,18,0.9017860889434814,1431
chartqa_train_0022,19,0.8544125556945801,1431
chartqa_train_0022,20,0.9019795656204224,1431
chartqa_train_0022,21,0.874746561050415,1431
chartqa_train_0022,22,0.8643177151679993,1431
chartqa_train_0022,23,0.8791477680206299,1431
chartqa_train_0022,24,0.8552584052085876,1431
chartqa_train_0022,25,0.8906650543212891,1431
chartqa_train_0022,26,0.8418489694595337,1431
chartqa_train_0022,27,,1431
chartqa_train_0024,0,0.8786277770996094,3699
chartqa_train_0024,1,0.8742551803588867,3699
chartqa_train_0024,2,0.9292984008789062,3699
chartqa_train_0024,3,0.921417236328125,3699
chartqa_train_0024,4,0.8385495543479919,3699
chartqa_train_0024,5,0.8659893274307251,3699
chartqa_train_0024,6,0.9106272459030151,3699
chartqa_train_0024,7,0.8777785301208496,3699
chartqa_train_0024,8,0.7617290616035461,3699
chartqa_train_0024,9,0.8422432541847229,3699
chartqa_train_0024,10,0.8695330619812012,3699
chartqa_train_0024,11,0.8435150980949402,3699
chartqa_train_0024,12,0.8514413833618164,3699
chartqa_train_0024,13,0.8843681216239929,3699
chartqa_train_0024,14,0.7510268688201904,3699
chartqa_train_0024,15,0.7923255562782288,3699
chartqa_train_0024,16,0.7665194272994995,3699
chartqa_train_0024,17,0.7999429106712341,3699
chartqa_train_0024,18,0.8748695850372314,3699
chartqa_train_0024,19,0.7127596735954285,3699
chartqa_train_0024,20,0.8542659878730774,3699
chartqa_train_0024,21,0.7937570810317993,3699
chartqa_train_0024,22,0.7724710702896118,3699
chartqa_train_0024,23,0.842229425907135,3699
chartqa_train_0024,24,0.86776202917099,3699
chartqa_train_0024,25,0.8065674901008606,3699
chartqa_train_0024,26,0.8021119832992554,3699
chartqa_train_0024,27,,3699
chartqa_train_0025,0,0.8788751363754272,3699
chartqa_train_0025,1,0.8740918040275574,3699
chartqa_train_0025,2,0.9278678894042969,3699
chartqa_train_0025,3,0.9220885038375854,3699
chartqa_train_0025,4,0.8451364040374756,3699
chartqa_train_0025,5,0.8637099862098694,3699
chartqa_train_0025,6,0.9119895696640015,3699
chartqa_train_0025,7,0.8755626678466797,3699
chartqa_train_0025,8,0.7388731837272644,3699
chartqa_train_0025,9,0.8435055613517761,3699
chartqa_train_0025,10,0.8687650561332703,3699
chartqa_train_0025,11,0.8379335999488831,3699
chartqa_train_0025,12,0.8541467189788818,3699
chartqa_train_0025,13,0.888424813747406,3699
chartqa_train_0025,14,0.7563697099685669,3699
chartqa_train_0025,15,0.795251727104187,3699
chartqa_train_0025,16,0.776211678981781,3699
chartqa_train_0025,17,0.8077782392501831,3699
chartqa_train_0025,18,0.8830941319465637,3699
chartqa_train_0025,19,0.747334361076355,3699
chartqa_train_0025,20,0.8225366473197937,3699
chartqa_train_0025,21,0.7721859812736511,3699
chartqa_train_0025,22,0.7463856339454651,3699
chartqa_train_0025,23,0.8144709467887878,3699
chartqa_train_0025,24,0.883460283279419,3699
chartqa_train_0025,25,0.788256824016571,3699
chartqa_train_0025,26,0.8160357475280762,3699
chartqa_train_0025,27,,3699
chartqa_train_0026,0,0.8867330551147461,3591
chartqa_train_0026,1,0.9006748199462891,3591
chartqa_train_0026,2,0.9306725859642029,3591
chartqa_train_0026,3,0.9117918610572815,3591
chartqa_train_0026,4,0.8774173259735107,3591
chartqa_train_0026,5,0.8764405846595764,3591
chartqa_train_0026,6,0.9026187062263489,3591
chartqa_train_0026,7,0.8821780681610107,3591
chartqa_train_0026,8,0.7376421093940735,3591
chartqa_train_0026,9,0.8015162944793701,3591
chartqa_train_0026,10,0.8665962219238281,3591
chartqa_train_0026,11,0.8317430019378662,3591
chartqa_train_0026,12,0.8814941644668579,3591
chartqa_train_0026,13,0.9088420867919922,3591
chartqa_train_0026,14,0.7776241898536682,3591
chartqa_train_0026,15,0.7744535207748413,3591
chartqa_train_0026,16,0.7906678915023804,3591
chartqa_train_0026,17,0.8333170413970947,3591
chartqa_train_0026,18,0.8404533267021179,3591
chartqa_train_0026,19,0.742242157459259,3591
chartqa_train_0026,20,0.8521597385406494,3591
chartqa_train_0026,21,0.8322753310203552,3591
chartqa_train_0026,22,0.6882967948913574,3591
chartqa_train_0026,23,0.8099321126937866,3591
chartqa_train_0026,24,0.8642637729644775,3591
chartqa_train_0026,25,0.8345487713813782,3591
chartqa_train_0026,26,0.8008819222450256,3591
chartqa_train_0026,27,0.8480675220489502,3591
chartqa_train_0027,0,0.8850833177566528,3591
chartqa_train_0027,1,0.895620584487915,3591
chartqa_train_0027,2,0.9312642216682434,3591
chartqa_train_0027,3,0.9176914691925049,3591
chartqa_train_0027,4,0.8724552989006042,3591
chartqa_train_0027,5,0.8781079649925232,3591
chartqa_train_0027,6,0.902469277381897,3591
chartqa_train_0027,7,0.8893746137619019,3591
chartqa_train_0027,8,0.7546433806419373,3591
chartqa_train_0027,9,0.8388724327087402,3591
chartqa_train_0027,10,0.8999550938606262,3591
chartqa_train_0027,11,0.878900408744812,3591
chartqa_train_0027,12,0.8815472722053528,3591
chartqa_train_0027,13,0.9126213788986206,3591
chartqa_train_0027,14,0.8191574811935425,3591
chartqa_train_0027,15,0.821018636226654,3591
chartqa_train_0027,16,0.8237862586975098,3591
chartqa_train_0027,17,0.8449627757072449,3591
chartqa_train_0027,18,0.9015951156616211,3591
chartqa_train_0027,19,0.7962247729301453,3591
chartqa_train_0027,20,0.8301892876625061,3591
chartqa_train_0027,21,0.7958397269248962,3591
chartqa_train_0027,22,0.6182736158370972,3591
chartqa_train_0027,23,0.7184098958969116,3591
chartqa_train_0027,24,0.8723174929618835,3591
chartqa_train_0027,25,0.849098265171051,3591
chartqa_train_0027,26,0.8584862947463989,3591
chartqa_train_0027,27,,3591
chartqa_train_0028,0,0.9059881567955017,1793
chartqa_train_0028,1,0.9056442379951477,1793
chartqa_train_0028,2,0.9464595317840576,1793
chartqa_train_0028,3,0.9391862154006958,1793
chartqa_train_0028,4,0.8875806331634521,1793
chartqa_train_0028,5,0.8457750082015991,1793
chartqa_train_0028,6,0.9123465418815613,1793
chartqa_train_0028,7,0.894565999507904,1793
chartqa_train_0028,8,0.7831281423568726,1793
chartqa_train_0028,9,0.8802775740623474,1793
chartqa_train_0028,10,0.9165019989013672,1793
chartqa_train_0028,11,0.8808482885360718,1793
chartqa_train_0028,12,0.8873165845870972,1793
chartqa_train_0028,13,0.9033201336860657,1793
chartqa_train_0028,14,0.7846429944038391,1793
chartqa_train_0028,15,0.7987394332885742,1793
chartqa_train_0028,16,0.8144542574882507,1793
chartqa_train_0028,17,0.8100510835647583,1793
chartqa_train_0028,18,0.8657152056694031,1793
chartqa_train_0028,19,0.7650198340415955,1793
chartqa_train_0028,20,0.8337409496307373,1793
chartqa_train_0028,21,0.831508994102478,1793
chartqa_train_0028,22,0.7069319486618042,1793
chartqa_train_0028,23,0.7659951448440552,1793
chartqa_train_0028,24,0.8603964447975159,1793
chartqa_train_0028,25,0.8075792193412781,1793
chartqa_train_0028,26,0.8104761242866516,1793
chartqa_train_0028,27,,1793
chartqa_train_0030,0,0.9137657880783081,1431
chartqa_train_0030,1,0.9086047410964966,1431
chartqa_train_0030,2,0.9157862663269043,1431
chartqa_train_0030,3,0.920646071434021,1431
chartqa_train_0030,4,0.8794546723365784,1431
chartqa_train_0030,5,0.8990679383277893,1431
chartqa_train_0030,6,0.9011813402175903,1431
chartqa_train_0030,7,0.9167718887329102,1431
chartqa_train_0030,8,0.8234879374504089,1431
chartqa_train_0030,9,0.889047384262085,1431
chartqa_train_0030,10,0.931911826133728,1431
chartqa_train_0030,11,0.8942999839782715,1431
chartqa_train_0030,12,0.891175389289856,1431
chartqa_train_0030,13,0.9100763201713562,1431
chartqa_train_0030,14,0.7985045313835144,1431
chartqa_train_0030,15,0.8098794221878052,1431
chartqa_train_0030,16,0.7906709313392639,1431
chartqa_train_0030,17,0.8261132836341858,1431
chartqa_train_0030,18,0.8510523438453674,1431
chartqa_train_0030,19,0.796188235282898,1431
chartqa_train_0030,20,0.8000413179397583,1431
chartqa_train_0030,21,0.7672051191329956,1431
chartqa_train_0030,22,0.6626487970352173,1431
chartqa_train_0030,23,0.7492138147354126,1431
chartqa_train_0030,24,0.8206070065498352,1431
chartqa_train_0030,25,0.8061904907226562,1431
chartqa_train_0030,26,0.8418391346931458,1431
chartqa_train_0030,27,,1431
chartqa_train_0038,0,0.9240542650222778,1681
chartqa_train_0038,1,0.9198405742645264,1681
chartqa_train_0038,2,0.9547988176345825,1681
chartqa_train_0038,3,0.9431428909301758,1681
chartqa_train_0038,4,0.8410339951515198,1681
chartqa_train_0038,5,0.8723272085189819,1681
chartqa_train_0038,6,0.8629093170166016,1681
chartqa_train_0038,7,0.8718540072441101,1681
chartqa_train_0038,8,0.8906491994857788,1681
chartqa_train_0038,9,0.8060307502746582,1681
chartqa_train_0038,10,0.8853893876075745,1681
chartqa_train_0038,11,0.8590828776359558,1681
chartqa_train_0038,12,0.8582658171653748,1681
chartqa_train_0038,13,0.8843601942062378,1681
chartqa_train_0038,14,0.7430338859558105,1681
chartqa_train_0038,15,0.8152377009391785,1681
chartqa_train_0038,16,0.8091745972633362,1681
chartqa_train_0038,17,0.8188789486885071,1681
